seed,episode_return,episode_length,success_any,success_final,success_fraction,time_to_first_success,min_distance,final_distance,timesteps
202,-0.8044538329145631,50,True,True,0.98,2.0,0.009934131683421601,0.014688006507516385,25000
203,-0.7369791035917557,50,True,True,0.96,3.0,0.009248373700817752,0.011244437651894177,25000
204,-0.5310878794489522,50,True,True,0.98,2.0,0.008710307697261286,0.008710307697261286,25000
205,-0.8698123653002116,50,True,True,0.96,3.0,0.010041421421852118,0.013600687509870542,25000
201,-0.6586423438189392,50,True,True,0.94,4.0,0.00768836957072286,0.007791586055124394,30000
202,-0.4819147036799611,50,True,True,0.98,2.0,0.0035516323629640714,0.00787190647565742,30000
203,-0.6833479407929482,50,True,True,0.96,3.0,0.009783580762358962,0.009795279820330868,30000
204,-0.49442084080770604,50,True,True,0.98,2.0,0.007926153888588324,0.007926153888588324,30000
205,-0.7848201737288104,50,True,True,0.96,3.0,0.011220991865401157,0.0113247360515175,30000
201,-0.596057761228445,50,True,True,0.94,4.0,0.006224973978074523,0.006464351153326235,35000
202,-0.33146913043999643,50,True,True,0.98,2.0,0.004044462017285637,0.004355318800192258,35000
203,-0.8092114378143895,50,True,True,0.96,3.0,0.012414676333661966,0.01243387941558452,35000
204,-0.3433195234116801,50,True,True,0.98,2.0,0.004645099998608909,0.004645099998608909,35000
205,-0.6750942327404823,50,True,True,0.96,3.0,0.009080908283355232,0.009150396508737845,35000
201,-0.9049070264155402,50,True,True,0.94,4.0,0.012960902243258708,0.012960902243258708,40000
202,-0.7574425480857822,50,True,True,0.98,2.0,0.012432765786943578,0.013516830610128368,40000
203,-1.2288118652398983,50,True,True,0.96,3.0,0.020798570033286178,0.0214559054196033,40000
204,-0.6731928930746685,50,True,True,0.98,2.0,0.011634617065764408,0.011634617065764408,40000
205,-1.0167597448269148,50,True,True,0.96,3.0,0.01616520307492109,0.016166038265401014,40000
201,-0.6135247288689406,50,True,True,0.94,4.0,0.006796509902998898,0.006893448934308298,45000
202,-0.4485399832820074,50,True,True,0.98,2.0,0.006191918815393755,0.006883832831677846,45000
203,-0.7567293647396525,50,True,True,0.96,3.0,0.011220002729584642,0.011362576615946158,45000
204,-0.4013193741925076,50,True,True,0.98,2.0,0.006120702419255167,0.006125970331797785,45000
205,-0.4872296414149646,50,True,True,0.96,3.0,0.004651338167795095,0.004653759129739607,45000
201,-0.7670647655407699,50,True,True,0.94,4.0,0.009560760110482876,0.009600898879289489,50000
202,-0.6808110113736225,50,True,True,0.98,2.0,0.011133908976179722,0.011885960538585833,50000
203,-0.7544154697454903,50,True,True,0.96,3.0,0.011458674835591655,0.011458674835591655,50000
204,-0.4538047488340993,50,True,True,0.98,2.0,0.006869485608637714,0.006869485608637714,50000
205,-1.1190020021476224,50,True,True,0.96,3.0,0.018200452567936128,0.018200452567936128,50000
201,-0.8134195502517456,50,True,True,0.94,4.0,0.010526500466084287,0.011334801732756389,55000
202,-0.6195757047261341,50,True,True,0.98,2.0,0.010422570227404495,0.010453113420449796,55000
203,-0.7694683449471837,50,True,True,0.96,3.0,0.010834926521799453,0.012096886568953873,55000
204,-0.6168521690428289,50,True,True,0.98,2.0,0.008632461285009026,0.010881921106551574,55000
205,-0.6775948133624373,50,True,True,0.96,3.0,0.008285604515037454,0.009148748412426381,55000
201,-0.9709055105336644,50,True,True,0.94,4.0,0.014178565517986243,0.01459618786020944,60000
202,-0.6936640638309435,50,True,True,0.98,2.0,0.011152082368643953,0.012110385644100384,60000
203,-1.0923003241240195,50,True,True,0.96,3.0,0.017362742025760762,0.019044682372311637,60000
204,-0.7204874048724448,50,True,True,0.98,2.0,0.007569263138335041,0.013259389437430744,60000
205,-1.016401851463499,50,True,True,0.96,3.0,0.016003916519344352,0.016253161629875033,60000
201,-1.5075478815562748,50,True,True,0.94,4.0,0.025682700660643012,0.025683113751410087,65000
202,-1.3880074196455638,50,True,True,0.98,2.0,0.02633453087979536,0.026490208801620452,65000
