#{"t_start": 1789174276.729187, "env_id": "FetchReachDense-v4"}
r,l,t,is_success
-1.306418,50,48.662445,1.0
-0.936534,50,48.832883,1.0
-0.93279,50,49.017947,1.0
-1.088002,50,49.191,1.0
-1.24642,50,49.379437,1.0
-1.15039,50,49.572889,1.0
-1.096164,50,49.755633,1.0
-0.926297,50,49.925253,1.0
-0.809407,50,50.105311,1.0
-0.810077,50,50.289226,1.0
-0.855261,50,50.476148,1.0
-0.980961,50,50.672234,1.0
-0.906113,50,50.857247,1.0
-0.931877,50,51.050234,1.0
-0.829233,50,51.229496,1.0
-0.910849,50,51.409312,1.0
-0.979375,50,51.591691,1.0
-0.753084,50,51.764104,1.0
-1.261666,50,51.930055,1.0
-0.824628,50,52.108311,1.0
-0.917404,50,52.302421,1.0
-1.219828,50,52.487273,1.0
-1.027075,50,52.662366,1.0
-1.551255,50,52.840448,1.0
-1.464294,50,53.00359,1.0
-0.517569,50,53.173868,1.0
-1.220241,50,53.353522,1.0
-1.016463,50,53.523455,1.0
-0.950039,50,53.699813,1.0
-0.932833,50,53.883225,1.0
-1.014328,50,54.053192,1.0
-1.033403,50,54.221771,1.0
-1.052806,50,54.390137,1.0
-0.87407,50,54.559001,1.0
-1.209974,50,54.72649,1.0
-1.069528,50,54.888057,1.0
-0.773704,50,55.057766,1.0
-1.113535,50,55.228302,1.0
-0.901307,50,55.407652,1.0
-1.035233,50,55.583091,1.0
-1.221093,50,55.759298,1.0
-1.013181,50,55.933981,1.0
-1.281917,50,56.106882,1.0
-0.937402,50,56.28162,1.0
-1.078046,50,56.457412,1.0
-0.755214,50,56.638343,1.0
-1.079562,50,56.836098,1.0
-0.862643,50,57.020134,1.0
-1.033722,50,57.208992,1.0
-0.870066,50,57.381996,1.0
-0.818736,50,57.560687,1.0
-0.727643,50,57.760448,1.0
-0.795659,50,57.925285,1.0
-0.899702,50,58.085474,1.0
-0.671142,50,58.254887,1.0
-0.923282,50,58.440759,1.0
-0.681849,50,58.625495,1.0
-0.833413,50,58.809762,1.0
-0.680942,50,58.991494,1.0
-0.809002,50,59.158688,1.0
-1.193003,50,59.333425,1.0
-1.508647,50,59.506335,1.0
-0.653499,50,59.675633,1.0
-0.711805,50,59.8463,1.0
-0.657298,50,60.026152,1.0
-0.664073,50,60.200649,1.0
-2.246041,50,60.37663,1.0
-0.986616,50,60.544227,1.0
-1.054841,50,60.718935,1.0
-0.907993,50,60.88627,1.0
-0.912924,50,61.059438,1.0
-1.417177,50,61.234415,1.0
-0.94257,50,61.409697,1.0
-1.03404,50,61.578199,1.0
-0.922458,50,61.744294,1.0
-0.655824,50,61.908031,1.0
-1.20369,50,62.068548,1.0
-1.010079,50,62.231426,1.0
-0.943038,50,62.394337,1.0
-1.07766,50,62.563067,1.0
-0.667808,50,62.729459,1.0
-0.723605,50,62.895857,1.0
-1.127729,50,63.056599,1.0
-1.179967,50,63.21817,1.0
-1.271401,50,63.389954,1.0
-2.073338,50,63.564805,1.0
-1.433972,50,63.736239,1.0
-0.814914,50,63.899776,1.0
-0.802533,50,64.066724,1.0
-1.002972,50,64.234979,1.0
-0.694544,50,64.395065,1.0
-0.632208,50,64.55815,1.0
-0.659868,50,64.721167,1.0
-0.794483,50,64.886968,1.0
-0.93599,50,65.051648,1.0
-1.48011,50,65.216019,1.0
-1.033283,50,65.386581,1.0
-1.377666,50,65.551263,1.0
-0.956247,50,65.718515,1.0
-0.8598,50,65.883798,1.0
-0.821997,50,66.279027,1.0
-1.751126,50,66.456192,1.0
-0.748239,50,66.618986,1.0
-1.030223,50,66.783355,1.0
-0.868143,50,66.948855,1.0
-0.614797,50,67.111955,1.0
-2.171365,50,67.292885,1.0
-1.02473,50,67.456462,1.0
-0.850789,50,67.620769,1.0
-1.289071,50,67.790781,1.0
-0.921567,50,67.954445,1.0
-1.126949,50,68.12936,1.0
-0.864134,50,68.308276,1.0
-1.121122,50,68.483614,1.0
-1.009049,50,68.656727,1.0
-0.81366,50,68.836444,1.0
-1.056934,50,69.021191,1.0
-0.812442,50,69.195118,1.0
-0.891572,50,69.366435,1.0
-0.803746,50,69.541318,1.0
-1.061285,50,69.727472,1.0
-1.080406,50,69.906429,1.0
-1.137351,50,70.067473,1.0
-0.999544,50,70.226858,1.0
-0.840585,50,70.389314,1.0
-0.924291,50,70.556223,1.0
-1.324615,50,70.719873,1.0
-0.500614,50,70.888846,1.0
-1.078139,50,71.055308,1.0
-0.776588,50,71.230517,1.0
-0.654414,50,71.40614,1.0
-0.716932,50,71.594958,1.0
-0.932232,50,71.779788,1.0
-0.900276,50,71.970741,1.0
-0.891623,50,72.151616,1.0
-1.0945,50,72.326917,1.0
-1.141354,50,72.495573,1.0
-2.081249,50,72.676477,1.0
-0.798562,50,72.845892,1.0
-0.979845,50,73.018579,1.0
-1.939566,50,73.18892,1.0
-1.183905,50,73.354487,1.0
-0.667589,50,73.517311,1.0
-0.710947,50,73.682371,1.0
-1.029938,50,73.8433,1.0
-0.854728,50,74.005708,1.0
-1.040675,50,74.171376,1.0
-0.741783,50,74.332845,1.0
-1.102344,50,74.49374,1.0
-0.620974,50,74.658762,1.0
-1.226719,50,74.820736,1.0
-1.87099,50,74.993213,1.0
-1.267504,50,75.165169,1.0
-0.691843,50,75.329801,1.0
-0.933936,50,75.498636,1.0
-0.79696,50,75.665468,1.0
-0.992455,50,75.833585,1.0
-0.873254,50,75.993888,1.0
-0.969807,50,76.156119,1.0
-0.799626,50,76.315872,1.0
-0.863274,50,76.478069,1.0
-1.709518,50,76.646187,1.0
-1.120072,50,76.808776,1.0
-1.193904,50,76.973836,1.0
-1.673184,50,77.141255,1.0
-1.534555,50,77.306542,1.0
-0.701276,50,77.467245,1.0
-1.135317,50,77.629382,1.0
-1.078547,50,77.796416,1.0
-1.10564,50,77.9706,1.0
-1.278345,50,78.133079,1.0
-1.282929,50,78.303101,1.0
-0.888442,50,78.481663,1.0
-1.153695,50,78.647888,1.0
-0.57366,50,78.814595,1.0
-1.231521,50,78.9906,1.0
-1.013306,50,79.158649,1.0
-1.270935,50,79.329583,1.0
-0.928522,50,79.4977,1.0
-0.93559,50,79.667973,1.0
-1.052471,50,79.846209,1.0
-0.950049,50,80.024719,1.0
-0.883201,50,80.191955,1.0
-0.673247,50,80.369751,1.0
-0.788713,50,80.536626,1.0
-0.775784,50,80.722518,1.0
-0.955405,50,80.911238,1.0
-0.786061,50,81.093056,1.0
-0.714655,50,81.280833,1.0
-0.791789,50,81.46174,1.0
-1.345849,50,81.626878,1.0
-1.06747,50,81.801791,1.0
-1.151292,50,81.972432,1.0
-0.996114,50,82.148885,1.0
-0.935983,50,82.327002,1.0
-1.309289,50,82.510986,1.0
-1.423907,50,82.696071,1.0
-1.237842,50,82.871639,1.0
-0.918508,50,83.046449,1.0
-0.614416,50,83.216834,1.0
