#{"t_start": 1789168584.9362738, "env_id": "AdroitHandDoor-v1"}
r,l,t
-39.313579,200,685.026827
-42.22297,200,686.149142
-43.166083,200,687.276905
-45.019687,200,688.408603
-43.363228,200,689.551207
-33.799406,200,690.654365
-32.466101,200,691.742376
97.729802,200,692.860184
-46.187935,200,694.038682
-40.580715,200,695.196819
-46.37407,200,696.33288
-45.648099,200,697.486867
-45.139179,200,698.62252
-44.516003,200,699.76591
-42.74937,200,700.971203
-42.935137,200,702.20087
-41.416381,200,703.369798
-47.971388,200,704.541429
-47.930938,200,705.690934
2997.580883,200,706.816629
-49.419443,200,707.986416
-48.796099,200,709.148252
-47.940704,200,710.291996
-46.772421,200,711.44063
-48.972832,200,712.562218
-48.246431,200,713.708722
846.896339,200,714.893833
-46.706369,200,716.032634
285.151189,200,717.155992
-45.467383,200,718.308811
-47.179054,200,719.466605
-45.266545,200,720.633308
317.566471,200,721.745105
146.954922,200,722.894749
-45.131951,200,724.024768
-47.003344,200,725.15007
-44.658248,200,726.286721
-43.449395,200,727.443405
-43.465877,200,728.613911
-34.349962,200,729.759742
-42.190241,200,730.935574
1479.523321,200,732.096078
-40.032867,200,733.223718
-46.098896,200,734.429082
-42.872983,200,735.528667
-45.597591,200,736.656059
-43.060336,200,737.87639
-45.037939,200,739.037883
1968.652354,200,740.190927
-44.313175,200,741.359101
53.585572,200,742.493334
-46.735137,200,743.62654
-45.182568,200,744.765596
37.041588,200,745.875243
-42.961559,200,746.984514
1159.655575,200,748.146345
62.985098,200,749.273805
-46.281665,200,750.416392
116.054334,200,751.58723
2560.859612,200,752.693485
-41.496145,200,753.807327
-46.432386,200,754.94068
-46.955138,200,756.065554
-44.390833,200,757.212307
-47.225402,200,758.377297
-46.376092,200,759.530804
-47.30304,200,760.674039
395.593248,200,761.811424
-40.357043,200,762.950294
212.186601,200,764.089394
2444.658676,200,765.242949
678.891712,200,766.443166
-47.356165,200,767.609239
-47.025439,200,768.758119
-42.143315,200,769.910883
308.675651,200,771.034702
59.115614,200,772.206603
-45.088817,200,773.368116
-43.047583,200,774.600221
-46.527031,200,775.798335
-46.621057,200,776.961647
25.109925,200,778.110197
-47.265646,200,779.286813
-47.030147,200,780.448448
-47.388089,200,781.581874
2886.021991,200,782.697475
-48.18774,200,783.860794
-46.957139,200,785.041759
152.037249,200,786.191956
68.138249,200,787.416599
166.656676,200,788.563472
62.644709,200,789.699068
-43.190837,200,790.859946
254.336304,200,792.095411
84.568591,200,793.772395
22.417729,200,794.917297
224.344394,200,796.098099
-46.02837,200,797.230108
-46.835329,200,798.372691
-41.603795,200,799.512147
-44.839245,200,800.65247
72.067499,200,801.877243
-46.595542,200,803.046014
-44.825613,200,804.176305
-45.522173,200,805.304228
-45.177835,200,806.442131
-43.948203,200,807.563451
-45.05107,200,808.696582
-45.603066,200,809.853059
-45.357347,200,810.97684
-43.606185,200,812.101898
-45.313934,200,813.232429
-38.153143,200,814.361475
-45.888657,200,815.532368
-44.757112,200,816.663443
-38.636001,200,817.790908
604.48749,200,818.918448
