seed,episode_return,episode_length,success,success_any,max_door_hinge,min_palm_handle_distance,timesteps
204,-41.72051575802635,200,False,False,0.011967448164788409,0.2470595107441225,175000
205,-41.72501840188226,200,False,False,0.011967438790124553,0.24717319101533333,175000
201,277.5816499955393,200,False,False,0.2945989454889623,0.02892236856301385,200000
202,-47.01515296101161,200,False,False,0.06140998798645056,0.044423578598298305,200000
203,-46.4619434764134,200,False,False,0.13228517051653085,0.09808354775011513,200000
204,361.7819066124047,200,False,False,1.0661984168162955,0.0346144807854361,200000
205,-48.59609391666818,200,False,False,0.05831693136755308,0.024397199520401716,200000
201,-45.608105793120565,200,False,False,0.011967125526313002,0.1619178637541234,225000
202,-46.93695444283381,200,False,False,0.012964906848173882,0.09049308830452088,225000
203,-47.20115822124158,200,False,False,0.01580284320643055,0.06264319308242326,225000
204,-45.74095220640317,200,False,False,0.05158794238855112,0.09971224344561799,225000
205,-45.73331117546927,200,False,False,0.011966398694871394,0.13293673287843827,225000
201,-42.46833859552567,200,False,False,0.15639155151564216,0.11822063672577772,250000
202,69.70623368425065,200,False,False,0.5611448265352582,0.11650129629013682,250000
203,3164.876735755553,200,True,True,1.6078925781455984,0.1060016383701524,250000
204,60.50579597715425,200,False,False,0.4071019763358476,0.11232688164872522,250000
205,247.0567436751953,200,False,False,0.22347541781932403,0.11193185363254615,250000
201,-47.74862820053579,200,False,False,0.025278331928913444,0.05016129248059112,275000
202,-47.58518902666018,200,False,False,0.016332933537117844,0.11005171137672011,275000
203,-41.62654542587862,200,False,False,0.14475198457679103,0.10275609665169898,275000
204,68.83276105768769,200,False,False,0.31155309725111135,0.07084689898431171,275000
205,-44.60743324564033,200,False,False,0.03823036786106282,0.15749925760419764,275000
201,819.8085651782236,200,False,False,1.2508959343772792,0.072887560952178,300000
202,-45.50125827858331,200,False,False,0.0472918927231526,0.08337770884970207,300000
203,241.3577289521596,200,True,True,1.3563824460481029,0.028021517556404665,300000
204,-46.46134919346709,200,False,False,0.01196744813901942,0.06627825421055993,300000
205,-44.44526228343153,200,False,False,0.017725521262186465,0.13562594399531852,300000
201,-48.66933523653949,200,False,False,0.03928850956013241,0.026378561652678822,325000
202,-34.7193210089376,200,False,False,0.024550840071347883,0.10955866602432364,325000
203,274.52567947113215,200,False,False,0.2664730254984125,0.040338600248015485,325000
204,286.05689141949847,200,False,False,1.2565063383631443,0.040957664743163716,325000
205,2228.145947570508,200,True,True,1.6063077051777759,0.0817884602942171,325000
201,227.64636205038087,200,False,False,0.310335042145401,0.04985290787298123,350000
202,1574.9983014400084,200,True,True,1.5722300788020627,0.06478289805432123,350000
203,-47.64936446691523,200,False,False,0.014211987090119086,0.057389402754020755,350000
204,-46.33111539722407,200,False,False,0.011967448164765172,0.21024528816782162,350000
205,534.9967974106735,200,True,True,1.5840973332522947,0.09135319363177986,350000
201,3035.996705200686,200,True,True,1.5804215056277626,0.10879901869166829,375000
202,1873.564624633474,200,True,True,1.605581857612254,0.05390557872739365,375000
203,7.79689170672902,200,False,False,0.2731195881919099,0.07122979118221778,375000
204,-46.7295239368411,200,False,False,0.011967348976048576,0.11556457016150423,375000
205,-46.51806473116969,200,False,False,0.08775386081347106,0.02567123035808205,375000
201,107.51708023453575,200,False,False,0.27996269488782416,0.055314989473727295,400000
202,-45.259948683371036,200,False,False,0.012131782347908526,0.07959200509395253,400000
203,-44.419944748462356,200,False,False,0.017828161310979397,0.07510858316332746,400000
204,1804.8892331649577,200,True,True,1.5790326276230668,0.06577639471137121,400000
205,-42.21994580241603,200,False,False,0.1126069144934938,0.09886549464992116,400000
201,319.07802561086305,200,True,True,1.6101552533042554,0.03725866236103598,425000
202,133.91793218924528,200,False,False,0.6221005293090627,0.04877322851640315,425000
203,16.28102029484198,200,False,False,1.1252556700805216,0.05645766236634521,425000
204,-46.80132728564905,200,False,False,0.011967447892372555,0.08283490504937657,425000
205,2595.2842495934997,200,True,True,1.6144331641195802,0.040666184930856185,425000
201,1812.3149215921717,200,True,True,1.6277425775300005,0.05784538283568235,450000
202,2689.3813485850924,200,True,True,1.6031474186476053,0.13496746800305642,450000
203,-24.06803102181321,200,False,False,0.21372319534592055,0.09912962197826444,450000
204,1722.999096244542,200,True,True,1.6243394796481767,0.025434409201010894,450000
205,1263.5909754141956,200,True,True,1.5956097357134043,0.03206343637592596,450000
201,2583.495734152075,200,True,True,1.615230141647892,0.03378635579943069,475000
202,1711.4395825367142,200,True,True,1.6326701013714207,0.11322277330682984,475000
203,1856.1777596795466,200,True,True,1.6187533647545258,0.12622740229055868,475000
204,2024.088854044824,200,True,True,1.6380630977318706,0.13209346173333927,475000
205,2719.96180227865,200,True,True,1.6154440526456382,0.028646159984809513,475000
201,-49.07495011265318,200,False,False,0.036157643371275965,0.03740127819460278,500000
