seed,goal_type,max_fingertip_error,finger_distance_ff,finger_distance_mf,finger_distance_rf,finger_distance_lf,finger_distance_th,action_mean_abs,action_saturation_fraction,episode_return,episode_length,success_any,success_final,success_fraction,time_to_first_success,min_goal_distance,final_goal_distance,timesteps
210,initial_hold,0.058905731906859195,0.030326968607791913,0.04980138223177015,0.015050127408007544,0.019991762470563876,0.058905731906859195,0.3557755947113037,0.052,-4.753317334992873,50,False,False,0.0,,0.04148751885218399,0.08657924029634553,150000
201,thumb_finger_meet,0.03761236654785834,0.019725978499568402,0.03761236654785834,0.02410373657934714,0.016420434581371622,0.0055703752995749966,0.4691127836704254,0.141,-2.9279733664399923,50,False,False,0.0,,0.045028095226041516,0.051821368324289414,200000
202,thumb_finger_meet,0.04212044116892941,0.036070580409534904,0.04212044116892941,0.029529106352278216,0.021473815924945704,0.007438283318169312,0.48413413763046265,0.158,-3.5567674367509863,50,False,False,0.0,,0.05555845544776897,0.066810472879706,200000
203,thumb_finger_meet,0.05732767683825386,0.015560685965036389,0.05732767683825386,0.02545209890953577,0.015966503411083556,0.020923862198608145,0.47047290205955505,0.153,-3.5699176359647224,50,False,False,0.0,,0.05883241036400936,0.06977925235166271,200000
204,initial_hold,0.05251628969296368,0.021910676324171117,0.023148896554089835,0.01778850047237795,0.010052828749601702,0.05251628969296368,0.4696771502494812,0.148,-3.549739424551578,50,False,False,0.0,,0.045688547017929675,0.06474102213198706,200000
205,thumb_finger_meet,0.04764390771525336,0.013381768270967773,0.033437195414036815,0.04764390771525336,0.02038888961343594,0.022804257216041346,0.477973997592926,0.152,-4.22796697414272,50,False,False,0.0,,0.06287387614892698,0.06710291102804851,200000
206,thumb_finger_meet,0.0692970094940964,0.02528113059346145,0.03633366485530724,0.0692970094940964,0.026928091852794458,0.018842367159697872,0.481589674949646,0.148,-4.478298733877706,50,False,False,0.0,,0.07833447132449828,0.08855226265736932,200000
207,thumb_finger_meet,0.05167067747610038,0.05167067747610038,0.03242220130487373,0.01746276460323975,0.01642702507046708,0.0066109579602001475,0.48418912291526794,0.153,-3.6913774316943533,50,False,False,0.0,,0.061476687996282586,0.06587532249407507,200000
208,thumb_finger_meet,0.05615084561709707,0.030824967860889032,0.04256328756584846,0.029788671007668417,0.05615084561709707,0.016244946840476136,0.4720649719238281,0.154,-3.952022066606839,50,False,False,0.0,,0.06805347633641431,0.08405945975204708,200000
209,thumb_finger_meet,0.040459437811433276,0.022886742548152466,0.034732882959306356,0.040459437811433276,0.028616120058135734,0.006790826890171774,0.46264904737472534,0.151,-3.6168913147921176,50,False,False,0.0,,0.056104807013295684,0.06505489918662115,200000
210,initial_hold,0.05251628969296368,0.021910676324171117,0.023148896554089835,0.01778850047237795,0.010052828749601702,0.05251628969296368,0.4696771502494812,0.148,-3.549739424551578,50,False,False,0.0,,0.045688547017929675,0.06474102213198706,200000
201,thumb_finger_meet,0.03602779470492957,0.03210406942878289,0.03602779470492957,0.024500369171940466,0.03518509206039302,0.0181383480417172,0.5205241441726685,0.194,-3.5267382402247573,50,False,False,0.0,,0.052596874337573485,0.0670517093572627,250000
202,thumb_finger_meet,0.04627075032211811,0.04627075032211811,0.021089904531144427,0.023951099603103522,0.025313486007368265,0.012999820986762098,0.5484678745269775,0.216,-3.5072639419959737,50,False,False,0.0,,0.054321605748274174,0.0630015039521713,250000
203,thumb_finger_meet,0.06972578273119263,0.03156242919936266,0.06972578273119263,0.026538894817990284,0.02551954777447025,0.029495649398767056,0.5398144721984863,0.213,-4.446392550212046,50,False,False,0.0,,0.07394994055184016,0.08990787120531255,250000
204,initial_hold,0.052983738572358205,0.043476646659072915,0.030655538340001533,0.04055656438371902,0.04088790055024725,0.052983738572358205,0.5385603904724121,0.213,-4.212722677384631,50,False,False,0.0,,0.050445886714660035,0.09462511672254272,250000
205,thumb_finger_meet,0.048745586680435264,0.03752259942864934,0.04811236000228787,0.048745586680435264,0.040641894219492866,0.027536698268893215,0.505907416343689,0.172,-4.219114452717352,50,False,False,0.0,,0.07557882432997982,0.09224375421129047,250000
206,thumb_finger_meet,0.0717695717942498,0.03148695334413436,0.02504263200082733,0.0717695717942498,0.017130639616852888,0.011680743858619135,0.5361815094947815,0.213,-4.21142082139008,50,False,False,0.0,,0.07301769516659141,0.08484887550655984,250000
207,thumb_finger_meet,0.06077840803485881,0.06077840803485881,0.029030488623149397,0.03462548883282122,0.034529326957795405,0.012474324825258494,0.554107666015625,0.215,-3.743916623517806,50,False,False,0.0,,0.055791868505210715,0.08416407683725177,250000
208,thumb_finger_meet,0.05403782324079961,0.023598075161991146,0.021880675124263938,0.023736310975934396,0.05403782324079961,0.020744656288894228,0.5232476592063904,0.174,-3.926940313730311,50,False,False,0.0,,0.07026763011715163,0.07035248864922329,250000
209,thumb_finger_meet,0.051299613875062655,0.029076628519188567,0.022363294624221756,0.051299613875062655,0.027063137618869273,0.014588382302816495,0.5143439769744873,0.187,-3.6670372252658447,50,False,False,0.0,,0.06325360252071582,0.07016018794312158,250000
210,initial_hold,0.052983738572358205,0.043476646659072915,0.030655538340001533,0.04055656438371902,0.04088790055024725,0.052983738572358205,0.5385603904724121,0.213,-4.212722677384631,50,False,False,0.0,,0.050445886714660035,0.09462511672254272,250000
201,thumb_finger_meet,0.039862439106770224,0.016772367856464597,0.039862439106770224,0.024066614055808178,0.03450258254277844,0.015082060031103019,0.6869121193885803,0.387,-3.368283071512214,50,False,False,0.0,,0.04416940066466839,0.06218862455520133,300000
202,thumb_finger_meet,0.03388875802448798,0.03388875802448798,0.019684272984182103,0.028451355509694513,0.029614190684939413,0.010728388005313772,0.6628875136375427,0.368,-3.6456748352897415,50,False,False,0.0,,0.05481831607907579,0.05777107193755052,300000
203,thumb_finger_meet,0.07023532394077787,0.04163683185894187,0.07023532394077787,0.032557017230394086,0.030386475786455973,0.023840993130351946,0.6958991885185242,0.4,-4.138692771625198,50,False,False,0.0,,0.06421649198477011,0.09601206555125424,300000
204,initial_hold,0.0562883688609807,0.020075348908843712,0.033497639916667245,0.018449888166574446,0.02651549194183119,0.0562883688609807,0.6606800556182861,0.363,-3.5071320999179103,50,False,False,0.0,,0.05420398713078974,0.07574273344093645,300000
205,thumb_finger_meet,0.054737208434478574,0.04621745456679974,0.023951350244166714,0.054737208434478574,0.02722931026006532,0.028954403574842576,0.6640571355819702,0.361,-4.333093797751394,50,False,False,0.0,,0.07360697321127312,0.08535616612738796,300000
