#{"t_start": 1789220522.800371, "env_id": "HandReachDense-v3"}
r,l,t,is_success
-5.556211,50,11.330837,0.0
-6.201213,50,11.36603,0.0
-5.916952,50,11.400923,0.0
-5.31997,50,11.435855,0.0
-6.445491,50,11.47091,0.0
-5.434036,50,11.505969,0.0
-6.029171,50,11.540547,0.0
-5.634788,50,11.575168,0.0
-6.130696,50,11.60931,0.0
-6.099155,50,11.643844,0.0
-6.099682,50,11.678745,0.0
-4.946053,50,11.713645,0.0
-5.712193,50,11.748923,0.0
-6.547583,50,11.783707,0.0
-5.009591,50,11.818631,0.0
-5.72192,50,11.853838,0.0
-5.760951,50,11.889098,0.0
-6.343898,50,11.924053,0.0
-6.053037,50,11.959159,0.0
-5.70401,50,11.994213,0.0
-6.12376,50,12.029241,0.0
-5.772872,50,12.064018,0.0
-6.206,50,12.098932,0.0
-6.01396,50,12.133925,0.0
-6.284082,50,12.168708,0.0
-5.096743,50,12.204436,0.0
-6.103004,50,12.239585,0.0
-5.247975,50,12.274942,0.0
-5.283832,50,12.309675,0.0
-5.068038,50,12.457439,0.0
-5.152164,50,12.493065,0.0
-6.165004,50,12.528108,0.0
-5.817478,50,12.563427,0.0
-6.368126,50,12.598894,0.0
-6.199543,50,12.634205,0.0
-6.116734,50,12.668976,0.0
-5.388854,50,12.70392,0.0
-5.644475,50,12.738654,0.0
-5.83035,50,12.773912,0.0
-5.420583,50,12.808492,0.0
-6.092245,50,12.843323,0.0
-6.073766,50,12.87819,0.0
-5.435832,50,12.913362,0.0
-5.317386,50,12.948251,0.0
-4.764253,50,12.983446,0.0
-5.220746,50,13.018465,0.0
-5.90771,50,13.053837,0.0
-6.080207,50,13.089165,0.0
-5.750541,50,13.124257,0.0
-5.971238,50,13.159294,0.0
-5.491768,50,13.193691,0.0
-5.425353,50,13.228795,0.0
-5.378224,50,13.263784,0.0
-5.367108,50,13.298602,0.0
-5.841485,50,13.333495,0.0
-5.432558,50,13.36834,0.0
-6.138439,50,13.403355,0.0
-6.005911,50,13.438238,0.0
-6.057471,50,13.473201,0.0
-5.969508,50,13.508331,0.0
-5.892492,50,13.543246,0.0
-6.262279,50,13.578224,0.0
-5.730602,50,13.614164,0.0
-6.195875,50,13.650023,0.0
-5.892263,50,13.685613,0.0
-6.004383,50,13.721008,0.0
-6.032329,50,13.756097,0.0
-5.849901,50,13.791576,0.0
-5.752762,50,13.826814,0.0
-6.535326,50,13.86189,0.0
-5.55267,50,14.010944,0.0
-6.638287,50,14.046169,0.0
-5.328417,50,14.081305,0.0
-4.998452,50,14.116658,0.0
-5.89871,50,14.151647,0.0
-6.931247,50,14.186557,0.0
-5.807639,50,14.22132,0.0
-5.944285,50,14.256449,0.0
-5.661617,50,14.291531,0.0
-5.444067,50,14.326582,0.0
-5.727562,50,14.361781,0.0
-5.713301,50,14.396673,0.0
-6.174481,50,14.431571,0.0
-5.545946,50,14.466584,0.0
-5.682283,50,14.501092,0.0
-5.967007,50,14.536473,0.0
-5.520164,50,14.571563,0.0
-6.025966,50,14.606575,0.0
-5.121172,50,14.641521,0.0
-5.52337,50,14.676212,0.0
-6.024007,50,14.711055,0.0
-6.329401,50,14.745974,0.0
-5.733391,50,14.78088,0.0
-5.667563,50,14.815653,0.0
-5.329454,50,14.850796,0.0
-5.399212,50,14.885641,0.0
-6.136411,50,14.920452,0.0
-6.236293,50,14.955178,0.0
-5.850903,50,14.990404,0.0
-5.976901,50,15.025499,0.0
-5.957179,50,15.060041,0.0
-6.44032,50,15.09519,0.0
-6.640789,50,15.130129,0.0
-6.057745,50,15.164951,0.0
