#{"t_start": 1789218848.1384692, "env_id": "HandReachDense-v3"}
r,l,t,is_success
-5.811618,50,10.963399,0.0
-5.99468,50,11.000688,0.0
-5.768246,50,11.036301,0.0
-5.823738,50,11.07143,0.0
-6.22008,50,11.106472,0.0
-5.438584,50,11.141978,0.0
-5.655376,50,11.177546,0.0
-5.800162,50,11.212328,0.0
-4.861057,50,11.247449,0.0
-5.173256,50,11.282469,0.0
-6.355057,50,11.317637,0.0
-6.499505,50,11.352893,0.0
-6.363197,50,11.388065,0.0
-6.758736,50,11.423392,0.0
-5.733068,50,11.457725,0.0
-6.55444,50,11.492437,0.0
-5.516916,50,11.527631,0.0
-6.416887,50,11.562822,0.0
-5.831417,50,11.597633,0.0
-6.609418,50,11.633028,0.0
-6.474845,50,11.667987,0.0
-6.578307,50,11.703082,0.0
-5.575516,50,11.738069,0.0
-5.91586,50,11.774074,0.0
-6.590052,50,11.809358,0.0
-4.882674,50,11.844601,0.0
-6.35021,50,11.879842,0.0
-5.456472,50,11.915117,0.0
-6.223155,50,11.950188,0.0
-6.455299,50,11.984979,0.0
-5.86704,50,12.020461,0.0
-6.561141,50,12.056763,0.0
-6.391548,50,12.092426,0.0
-6.526999,50,12.127944,0.0
-5.940533,50,12.163177,0.0
-6.209994,50,12.198677,0.0
-4.71034,50,12.234178,0.0
-6.537061,50,12.26948,0.0
-4.995799,50,12.304542,0.0
-5.562533,50,12.339599,0.0
-5.460939,50,12.489694,0.0
-5.508369,50,12.525377,0.0
-6.154614,50,12.560652,0.0
-5.644836,50,12.59587,0.0
-6.29199,50,12.631196,0.0
-6.904305,50,12.666707,0.0
-6.183509,50,12.701969,0.0
-5.513685,50,12.737047,0.0
-5.914483,50,12.772101,0.0
-5.794774,50,12.80742,0.0
-5.725958,50,12.842536,0.0
-6.774069,50,12.87759,0.0
-6.354014,50,12.91257,0.0
-5.893637,50,12.947939,0.0
-5.330313,50,12.983489,0.0
-4.265605,50,13.019357,0.0
-5.260906,50,13.053941,0.0
-5.894505,50,13.089002,0.0
-6.022125,50,13.123942,0.0
-5.925861,50,13.158804,0.0
-6.517344,50,13.193967,0.0
-5.469922,50,13.228373,0.0
-6.014746,50,13.263097,0.0
-5.273328,50,13.297762,0.0
-5.809987,50,13.332345,0.0
-6.425626,50,13.367285,0.0
-5.011603,50,13.402573,0.0
-6.39401,50,13.437927,0.0
-6.132701,50,13.472818,0.0
-6.082699,50,13.507693,0.0
-6.385756,50,13.542778,0.0
-6.258453,50,13.578472,0.0
-6.615458,50,13.613591,0.0
-5.666365,50,13.648242,0.0
-6.338449,50,13.683041,0.0
-6.293933,50,13.718189,0.0
-6.266805,50,13.753869,0.0
-6.708984,50,13.788596,0.0
-6.039491,50,13.823562,0.0
-6.369186,50,13.85854,0.0
-6.407615,50,13.8938,0.0
-6.339755,50,14.043397,0.0
-6.903773,50,14.079292,0.0
-5.857472,50,14.115181,0.0
-5.333991,50,14.150539,0.0
-5.69963,50,14.185904,0.0
-7.388687,50,14.221239,0.0
-5.903251,50,14.256212,0.0
-6.330322,50,14.29136,0.0
-5.476523,50,14.326311,0.0
-4.957466,50,14.361196,0.0
-5.642101,50,14.396686,0.0
-6.337897,50,14.431421,0.0
-6.271499,50,14.46656,0.0
-5.67256,50,14.501538,0.0
-6.041595,50,14.536625,0.0
-5.964925,50,14.572867,0.0
-5.870665,50,14.608911,0.0
-5.893369,50,14.644659,0.0
-4.559565,50,14.680799,0.0
-5.708147,50,14.716544,0.0
-6.316936,50,14.752295,0.0
-6.006902,50,14.787882,0.0
-5.943128,50,14.824069,0.0
-4.995792,50,14.859704,0.0
-5.817884,50,14.89534,0.0
-5.65719,50,14.930501,0.0
-6.156597,50,14.96613,0.0
-6.092252,50,15.001713,0.0
-5.873936,50,15.037373,0.0
-6.008063,50,15.073034,0.0
-5.890225,50,15.10822,0.0
-6.633491,50,15.143337,0.0
-7.003764,50,15.178793,0.0
-5.906814,50,15.214402,0.0
-5.985225,50,15.249926,0.0
-5.937408,50,15.284903,0.0
-5.748079,50,15.319963,0.0
-6.188187,50,15.355513,0.0
-6.398998,50,15.390784,0.0
-5.305124,50,15.426184,0.0
-5.65863,50,15.461234,0.0
-6.523127,50,15.609369,0.0
-5.874974,50,15.64491,0.0
-4.925047,50,15.680383,0.0
-5.51969,50,15.715977,0.0
-6.641497,50,15.751388,0.0
-5.454919,50,15.786663,0.0
-4.899944,50,15.821503,0.0
-5.777824,50,15.856518,0.0
-6.158866,50,15.892332,0.0
-6.402148,50,15.927351,0.0
-5.342955,50,15.961729,0.0
-6.072011,50,15.996592,0.0
-6.093679,50,16.031443,0.0
-5.564298,50,16.066316,0.0
-6.102276,50,16.101638,0.0
-5.397523,50,16.136577,0.0
-5.746658,50,16.171954,0.0
-6.290782,50,16.207159,0.0
-5.390941,50,16.242251,0.0
-5.830822,50,16.277504,0.0
-5.382541,50,16.312349,0.0
-6.475099,50,16.34769,0.0
-6.420728,50,16.38291,0.0
-5.979766,50,16.417886,0.0
-6.021532,50,16.453377,0.0
-5.984285,50,16.488397,0.0
-5.931306,50,16.523709,0.0
-5.793829,50,16.559254,0.0
-5.752169,50,16.594479,0.0
-6.551492,50,16.630197,0.0
-7.022912,50,16.665587,0.0
-5.963538,50,16.700657,0.0
-6.589525,50,16.736188,0.0
-6.095251,50,16.771638,0.0
-6.027766,50,16.80689,0.0
-4.640755,50,16.841706,0.0
-6.050887,50,16.877002,0.0
-5.993684,50,16.912162,0.0
-5.292282,50,16.947098,0.0
-5.604039,50,16.982359,0.0
-6.382873,50,17.01767,0.0
-6.030132,50,17.166228,0.0
-5.578679,50,17.201422,0.0
-6.593928,50,17.23675,0.0
-5.937122,50,17.272285,0.0
-5.205341,50,17.307396,0.0
-5.661191,50,17.343003,0.0
-5.411477,50,17.378092,0.0
-6.212654,50,17.413132,0.0
-5.770135,50,17.448673,0.0
-6.720878,50,17.4838,0.0
-5.316686,50,17.519066,0.0
-5.378137,50,17.55432,0.0
-5.825889,50,17.589716,0.0
-4.448703,50,17.625173,0.0
-5.532729,50,17.661346,0.0
-5.720948,50,17.696478,0.0
-5.884987,50,17.731683,0.0
-6.164958,50,17.7666,0.0
-5.954147,50,17.801662,0.0
-6.390015,50,17.836688,0.0
-5.797974,50,17.87148,0.0
