time/fps,time/time_elapsed,time/iterations,rollout/success_rate,time/total_timesteps,rollout/ep_rew_mean,rollout/ep_len_mean,train/entropy_loss,train/clip_fraction,train/n_updates,train/value_loss,train/loss,train/approx_kl,train/learning_rate,train/clip_range,train/std,train/explained_variance,train/policy_gradient_loss
1295,453,287,0.0,587776,-4.20202969,50.0,-27.23051037788391,0.213134765625,2860,0.0165897021535784,-0.03244530409574509,0.00447705,3e-05,0.1,0.9450355768203735,0.07517564296722412,-0.025247732736170293
1295,455,288,0.0,589824,-4.21388962,50.0,-27.230387258529664,0.2251953125,2870,0.016376636584755033,-0.03231407701969147,0.0047773975,3e-05,0.1,0.9451244473457336,0.035273730754852295,-0.026552186923800035
1295,456,289,0.0,591872,-4.20438184,50.0,-27.22957589626312,0.2267578125,2880,0.014801866642665118,-0.03582988306879997,0.0050409874,3e-05,0.1,0.9449478387832642,0.039364755153656006,-0.02717572814435698
1295,458,290,0.0,593920,-4.154556150000001,50.0,-27.226244568824768,0.228515625,2890,0.017469462379813193,-0.034199751913547516,0.0048262887,3e-05,0.1,0.9448014497756958,0.0599207878112793,-0.02591253233840689
1295,460,291,0.0,595968,-4.1378986,50.0,-27.221747303009032,0.26923828125,2900,0.01177586403209716,-0.03436054289340973,0.0055401986,3e-05,0.1,0.9445134401321411,0.06461751461029053,-0.02805266357026994
1295,461,292,0.0,598016,-4.141409840000001,50.0,-27.21688139438629,0.271142578125,2910,0.015390649368055166,-0.03509239852428436,0.005405098,3e-05,0.1,0.9443443417549133,0.0889289379119873,-0.027892324305139483
1294,463,293,0.0,600064,-4.16792328,50.0,-27.212205576896668,0.213671875,2920,0.013595894165337085,-0.03715880215167999,0.0046290625,3e-05,0.1,0.9440656900405884,0.009112536907196045,-0.02462571592768654
1294,465,294,0.0,602112,-4.180200270000001,50.0,-27.207801818847656,0.238037109375,2930,0.017398901132401078,-0.02869122475385666,0.005315652,3e-05,0.1,0.9439550638198853,0.13826662302017212,-0.027900515065994114
1294,466,295,0.0,604160,-4.1847366599999996,50.0,-27.20275459289551,0.23408203125,2940,0.015260023216251284,-0.03334556519985199,0.00505122,3e-05,0.1,0.9435781240463257,0.08894491195678711,-0.029417555208783596
1294,468,296,0.0,606208,-4.1783819499999995,50.0,-27.197337412834166,0.21708984375,2950,0.016791860619559885,-0.03427867591381073,0.0048193717,3e-05,0.1,0.9435096979141235,0.14713168144226074,-0.025438463082537055
1294,469,297,0.0,608256,-4.20843997,50.0,-27.194446921348572,0.238916015625,2960,0.01564150225603953,-0.03822972625494003,0.0048566526,3e-05,0.1,0.9432538747787476,0.07060360908508301,-0.02668878416880034
1294,471,298,0.0,610304,-4.1797504199999995,50.0,-27.18918397426605,0.2384765625,2970,0.017418418172746898,-0.03253784775733948,0.0052890927,3e-05,0.1,0.9430978894233704,0.09248006343841553,-0.026503939524991436
1294,472,299,0.0,612352,-4.1699419,50.0,-27.18549425601959,0.226416015625,2980,0.012292048113886267,-0.03239943087100983,0.004985506,3e-05,0.1,0.9428403973579407,0.06169158220291138,-0.026165276207029818
1294,474,300,0.0,614400,-4.1735476899999995,50.0,-27.179588961601258,0.25048828125,2990,0.014395529590547084,-0.03362245857715607,0.004971049,3e-05,0.1,0.9425901174545288,-0.011653661727905273,-0.026715622434858234
1294,476,301,0.0,616448,-4.212204509999999,50.0,-27.174692487716676,0.228564453125,3000,0.01694009011844173,-0.035880401730537415,0.004877259,3e-05,0.1,0.9423744082450867,0.09749209880828857,-0.025526811624877153
1294,477,302,0.0,618496,-4.168841130000001,50.0,-27.169304966926575,0.259375,3010,0.016182776261121034,-0.03787757456302643,0.005434037,3e-05,0.1,0.942099392414093,0.08477926254272461,-0.028573553485330194
1294,479,303,0.0,620544,-4.132334760000001,50.0,-27.164534711837767,0.228515625,3020,0.016969581716693938,-0.032204948365688324,0.004946286,3e-05,0.1,0.9419225454330444,0.07138192653656006,-0.025736861024051906
1294,480,304,0.0,622592,-4.18608992,50.0,-27.161666870117188,0.264013671875,3030,0.012649932072963565,-0.03810006007552147,0.0059055374,3e-05,0.1,0.9418139457702637,0.11062592267990112,-0.028058536793105306
1295,482,305,0.0,624640,-4.14713043,50.0,-27.160181188583373,0.25654296875,3040,0.014762891561258585,-0.03551378846168518,0.0055558146,3e-05,0.1,0.9417712092399597,0.10327988862991333,-0.027092980779707433
1295,483,306,0.0,626688,-4.13207194,50.0,-27.156985330581666,0.23193359375,3050,0.014339239848777652,-0.03894718363881111,0.0054086447,3e-05,0.1,0.9415343999862671,-0.017150163650512695,-0.02719786602538079
1295,485,307,0.0,628736,-4.11533294,50.0,-27.153161764144897,0.235302734375,3060,0.01262857352849096,-0.03712144121527672,0.0049321884,3e-05,0.1,0.9414259195327759,-0.05521976947784424,-0.026864171272609382
1295,487,308,0.0,630784,-4.10949842,50.0,-27.150853037834167,0.2318359375,3070,0.015184946672525257,-0.0382009893655777,0.00476793,3e-05,0.1,0.941387951374054,0.07873958349227905,-0.026588934165192767
1295,488,309,0.0,632832,-4.12069374,50.0,-27.150287127494813,0.2365234375,3080,0.01618559235939756,-0.03366837650537491,0.0048105707,3e-05,0.1,0.9413716197013855,-0.020092248916625977,-0.026959879134665243
1295,490,310,0.0,634880,-4.13198162,50.0,-27.151658535003662,0.243798828125,3090,0.013570876291487366,-0.03650059551000595,0.005346177,3e-05,0.1,0.9415497779846191,-0.033795952796936035,-0.02751707535935566
1295,491,311,0.0,636928,-4.15707978,50.0,-27.150343537330627,0.21171875,3100,0.0186235731234774,-0.03924666717648506,0.00452995,3e-05,0.1,0.9411792755126953,0.11117565631866455,-0.025617752299876884
1295,493,312,0.0,638976,-4.115881309999999,50.0,-27.145266318321227,0.2587890625,3110,0.01595397968776524,-0.03833140432834625,0.0058236485,3e-05,0.1,0.9411349296569824,0.0419461727142334,-0.028585882112383842
1295,494,313,0.0,641024,-4.10739439,50.0,-27.143914914131166,0.236083984375,3120,0.012971618701703847,-0.03349824622273445,0.0049175667,3e-05,0.1,0.9410400390625,0.0014362335205078125,-0.02640822016983293
1295,496,314,0.0,643072,-4.09184793,50.0,-27.141688847541808,0.23154296875,3130,0.01289288344560191,-0.039586037397384644,0.0048617152,3e-05,0.1,0.9409641027450562,0.09952741861343384,-0.02647004942409694
1295,498,315,0.0,645120,-4.10022595,50.0,-27.141203355789184,0.22763671875,3140,0.014239812619052827,-0.0353759303689003,0.004985219,3e-05,0.1,0.9409961700439453,0.06349718570709229,-0.026738431729609147
1295,499,316,0.0,647168,-4.1648198,50.0,-27.13986794948578,0.216455078125,3150,0.012978295737411827,-0.036896806210279465,0.004781748,3e-05,0.1,0.9408135414123535,0.03832507133483887,-0.024400716333184393
1295,501,317,0.0,649216,-4.16435574,50.0,-27.133318877220155,0.2236328125,3160,0.011970473418477923,-0.03371279686689377,0.0047863033,3e-05,0.1,0.9404484033584595,0.11306345462799072,-0.025838789291447027
1294,503,318,0.0,651264,-4.1422056,50.0,-27.126985120773316,0.25537109375,3170,0.01174831265816465,-0.04126124456524849,0.005298193,3e-05,0.1,0.9402721524238586,0.048307836055755615,-0.029041445167968048
1294,504,319,0.0,653312,-4.10024157,50.0,-27.123711347579956,0.248291015625,3180,0.014684046001639217,-0.036814134567976,0.004991356,3e-05,0.1,0.9401477575302124,0.038490891456604004,-0.02646668888628483
1294,506,320,0.0,655360,-4.13597657,50.0,-27.121873092651366,0.24287109375,3190,0.014725086838006973,-0.03732660412788391,0.0052791126,3e-05,0.1,0.940079391002655,0.248121440410614,-0.02681451417738572
1294,507,321,0.0,657408,-4.13796898,50.0,-27.11945695877075,0.23779296875,3200,0.012377790606115014,-0.03315737843513489,0.005043879,3e-05,0.1,0.939950168132782,0.1561465859413147,-0.02584710451774299
1294,509,322,0.0,659456,-4.07252132,50.0,-27.117025780677796,0.26103515625,3210,0.013047173828817904,-0.03590455651283264,0.005493341,3e-05,0.1,0.9398460388183594,0.06176692247390747,-0.027480107225710527
1294,511,323,0.0,661504,-4.10155589,50.0,-27.11615924835205,0.23359375,3220,0.013990626682061701,-0.036832839250564575,0.0050449437,3e-05,0.1,0.9399078488349915,0.08612620830535889,-0.026641169737558812
1294,512,324,0.0,663552,-4.1491866,50.0,-27.114270210266113,0.233447265625,3230,0.014494113449472934,-0.03782661259174347,0.005181752,3e-05,0.1,0.9396538734436035,-0.06300818920135498,-0.02812828736496158
1294,514,325,0.0,665600,-4.156550729999999,50.0,-27.111162400245668,0.218017578125,3240,0.018838886311277746,-0.037882059812545776,0.0048251934,3e-05,0.1,0.9396663904190063,0.06424272060394287,-0.026122404605848713
1294,515,326,0.0,667648,-4.138065070000001,50.0,-27.107776832580566,0.221728515625,3250,0.016342335368972272,-0.03777465969324112,0.0046001524,3e-05,0.1,0.9392897486686707,0.11858129501342773,-0.026078322308603675
1294,517,327,0.0,669696,-4.080667010000001,50.0,-27.098054265975954,0.25009765625,3260,0.013075647153891623,-0.028175100684165955,0.005522672,3e-05,0.1,0.938821017742157,0.005461454391479492,-0.025236881140153856
1294,519,328,0.0,671744,-4.03187384,50.0,-27.089797163009642,0.2404296875,3270,0.016938168078195304,-0.030378134921193123,0.005043724,3e-05,0.1,0.9385440945625305,0.06780087947845459,-0.027588500082492827
1294,520,329,0.0,673792,-4.0267029899999995,50.0,-27.08732922077179,0.2373046875,3280,0.016931151738390326,-0.03399549052119255,0.0053257863,3e-05,0.1,0.9386101961135864,0.027415812015533447,-0.02570407710154541
1294,522,330,0.0,675840,-3.98715266,50.0,-27.084991788864137,0.24326171875,3290,0.01125478931935504,-0.03698338568210602,0.005708226,3e-05,0.1,0.9382724761962891,0.0672067403793335,-0.02708666663384065
1294,523,331,0.0,677888,-3.9986762400000004,50.0,-27.079864859580994,0.22900390625,3300,0.01044604075141251,-0.038277871906757355,0.004588721,3e-05,0.1,0.9381942749023438,0.04502934217453003,-0.025802273070439696
1294,525,332,0.0,679936,-4.011007759999999,50.0,-27.07668423652649,0.255224609375,3310,0.009933125361567364,-0.03439216688275337,0.005430899,3e-05,0.1,0.9379585385322571,0.009639739990234375,-0.02792983005056158
1294,527,333,0.0,681984,-4.06278339,50.0,-27.07423961162567,0.22607421875,3320,0.014196358155459166,-0.037118930369615555,0.0048743086,3e-05,0.1,0.9380115270614624,0.08032834529876709,-0.025381953874602913
1294,528,334,0.0,684032,-4.06684326,50.0,-27.073030471801758,0.231787109375,3330,0.012170226767193527,-0.036611009389162064,0.00479165,3e-05,0.1,0.9378143548965454,0.004884481430053711,-0.025888139178277925
1293,530,335,0.0,686080,-4.063040900000001,50.0,-27.06966414451599,0.244091796875,3340,0.02179091926664114,-0.03093642182648182,0.0052368646,3e-05,0.1,0.9377405047416687,0.012664854526519775,-0.02643159161088988
1293,531,336,0.0,688128,-4.0638593,50.0,-27.065847325325013,0.25498046875,3350,0.011272617778740824,-0.03924274817109108,0.0052068327,3e-05,0.1,0.9373959302902222,0.018304824829101562,-0.025503204943379387
1293,533,337,0.0,690176,-4.036698570000001,50.0,-27.063821625709533,0.2689453125,3360,0.014012645336333663,-0.03366153687238693,0.0055124112,3e-05,0.1,0.9376014471054077,0.10511797666549683,-0.028708714642561972
