rollout/success_rate,time/iterations,time/fps,time/total_timesteps,rollout/ep_len_mean,time/time_elapsed,rollout/ep_rew_mean,train/explained_variance,train/entropy_loss,train/policy_gradient_loss,train/n_updates,train/clip_range,train/approx_kl,train/learning_rate,train/value_loss,train/clip_fraction,train/loss,train/std
0.0,11,1322,22528,50.0,17,-5.96124507,-0.7035441398620605,-28.144756412506105,-0.09915983394021169,100,0.2,0.07318249,0.0003,0.09184229676611722,0.477490234375,-0.10884829610586166,0.987445056438446
0.0,12,1321,24576,50.0,18,-5.8870811100000005,-0.5046288967132568,-28.11285593509674,-0.10010026774252764,110,0.2,0.07139145,0.0003,0.07827241350896656,0.4779296875,-0.11995714902877808,0.9863025546073914
0.0,13,1321,26624,50.0,20,-5.84379678,-0.5156040191650391,-28.08214702606201,-0.10200096466578543,120,0.2,0.07067643,0.0003,0.0673950691241771,0.48974609375,-0.12406839430332184,0.9847393035888672
0.0,14,1320,28672,50.0,21,-5.775739529999999,-0.3705577850341797,-28.06293377876282,-0.10687442916678265,130,0.2,0.08013694,0.0003,0.07295725448057055,0.51689453125,-0.1214505285024643,0.9841821789741516
0.0,15,1320,30720,50.0,23,-5.759871260000001,-0.5064313411712646,-28.04277217388153,-0.10772511175600812,140,0.2,0.08289966,0.0003,0.06142118414863944,0.51875,-0.1297665238380432,0.98334801197052
0.0,16,1320,32768,50.0,24,-5.81320101,-0.7281208038330078,-28.036599922180176,-0.10763428106438369,150,0.2,0.07644565,0.0003,0.04960621814243495,0.520947265625,-0.13254974782466888,0.9830883145332336
0.0,17,1319,34816,50.0,26,-5.799042100000001,-0.2828575372695923,-28.01815218925476,-0.10584625957999379,160,0.2,0.08540055,0.0003,0.056592839397490026,0.515771484375,-0.12535995244979858,0.9811338186264038
0.0,18,1319,36864,50.0,27,-5.755298229999999,-0.9803613424301147,-27.97256546020508,-0.10534104238031432,170,0.2,0.09155624,0.0003,0.03632553925272077,0.553271484375,-0.132838636636734,0.9789678454399109
0.0,19,1319,38912,50.0,29,-5.745673970000001,-0.40786564350128174,-27.926528429985048,-0.10722161809680983,180,0.2,0.09893632,0.0003,0.04008599694352597,0.55166015625,-0.1288517564535141,0.9767369031906128
0.0,20,1319,40960,50.0,31,-5.70088873,-0.23448657989501953,-27.88653748035431,-0.10670048653846606,190,0.2,0.097367994,0.0003,0.04931537085212767,0.541796875,-0.12826158106327057,0.9753869771957397
0.0,21,1318,43008,50.0,32,-5.727090020000002,-0.24953222274780273,-27.86042242050171,-0.10721421771449968,200,0.2,0.09750062,0.0003,0.04508529829327017,0.54833984375,-0.128078430891037,0.9736264944076538
0.0,22,1318,45056,50.0,34,-5.673267029999998,-0.4073193073272705,-27.809098744392394,-0.10554533189861104,210,0.2,0.09106491,0.0003,0.03500844466034323,0.543603515625,-0.13267973065376282,0.9707487225532532
0.0,23,1318,47104,50.0,35,-5.5851108699999985,-0.3250986337661743,-27.75942461490631,-0.10730290281353519,220,0.2,0.09482147,0.0003,0.033286407310515645,0.560986328125,-0.13492007553577423,0.9691781997680664
0.0,24,1318,49152,50.0,37,-5.57550197,-0.14654755592346191,-27.730756163597107,-0.1092798822093755,230,0.2,0.09915557,0.0003,0.03454859924968332,0.56533203125,-0.13707681000232697,0.9670723676681519
0.0,25,1306,51200,50.0,39,-5.49354252,-0.2848604917526245,-27.69665675163269,-0.10903338823700323,240,0.2,0.10449634,0.0003,0.030816574417985975,0.584619140625,-0.1315869837999344,0.9661491513252258
0.0,26,1307,53248,50.0,40,-5.470551299999999,-0.13408350944519043,-27.675595664978026,-0.10790339191444218,250,0.2,0.11191815,0.0003,0.03341875991318375,0.5619140625,-0.13080145418643951,0.9650409817695618
0.0,27,1307,55296,50.0,42,-5.502994580000001,-0.04275333881378174,-27.655594801902772,-0.10549318545963615,260,0.2,0.10094164,0.0003,0.03296304030809551,0.5607421875,-0.1360989362001419,0.9640172719955444
0.0,28,1308,57344,50.0,43,-5.412032199999999,-0.28167736530303955,-27.61500322818756,-0.10759918819530867,270,0.2,0.10375425,0.0003,0.02703656512312591,0.57001953125,-0.14172452688217163,0.9616209268569946
0.0,29,1308,59392,50.0,45,-5.346762709999999,-0.04516804218292236,-27.5787184715271,-0.10591896488331258,280,0.2,0.10650009,0.0003,0.03491680019069463,0.554736328125,-0.13352225720882416,0.9602293968200684
